1,Isaac Childres
2,"Rob Daviau, Matt Leacock"
3,Vlaada Chvátil
4,Jacob Fryxelius
5,"Ananda Gupta, Jason Matthews"
6,Corey Konieczka
7,Jamey Stegmaier
8,"Jens Drögemüller, Helge Ostertag"
9,Alexander Pfister
10,"Ludovic Roudy, Bruno Sautter"
11,Stefan Feld
12,"Antoine Bauza, Bruno Cathala"
13,"Roberto Di Meglio, Marco Maggi, Francesco Nepitello"
14,Uwe Rosenberg
15,Andreas Seyfarth
16,"Morten Monrad Pedersen, Jamey Stegmaier, Alan Stone"
17,"Nate French, Matthew Newman"
18,Nikki Valens
19,Mac Gerdts
20,Eric M. Lang
21,"Chris Cantrell, Rick Ernst, Stone Librande, Prashant Saraswat, Nathan Tiras"
22,"Justin Kemppainen, Corey Konieczka, Jonathan Ying"
23,Reiner Stockhausen
24,"Jeroen Doumen, Joris Wiersinga"
25,Friedemann Friese
26,"Dane Beltrami, Corey Konieczka, Christian T. Petersen"
27,Touko Tahkokallio
28,Adam Poots
29,Martin Wallace
30,Ignacy Trzewiczek
31,"Simone Luciani, Daniele Tascini"
32,"Richard Garfield, Lukas Litzsinger"
33,Michael Kiesling
34,Antoine Bauza
35,"Sebastian Bleasdale, Richard Breese"
36,R. Eric Reuss
37,William Attia
38,"Corey Konieczka, Nikki Valens"
39,"Peggy Chassenet, Manuel Rozoy"
40,Thomas Lehmann
41,Christian T. Petersen
42,"Peter Lee, Rodney Thompson"
43,Bruno Cathala
44,Chad Jensen
45,"Wolfgang Kramer, Richard Ulrich"
46,Juma Al-JouJou
47,Donald X. Vaccarino
48,"Wei-Hwa Huang, Thomas Lehmann"
49,Paul Dennen
50,Jason Little
51,"Jonathan Gilmour, Isaac Vega"
52,"Raymond Edwards, Suzanne Goldberg, Gary Grady"
53,"Sébastien Dujardin, Xavier Georges, Alain Orban"
54,Vital Lacerda
55,Reiner Knizia
56,"Helmut Ohley, Leonhard ""Lonny"" Orgler"
57,Matt Leacock
58,Gord!
59,(Uncredited)
60,"Richard Amann, Viktor Peter, Dávid Turczi"
61,"Jacques Bariot, Guillaume Montiage"
62,"Daniel Clark (I), Corey Konieczka, Adam Sadler, Kevin Wilson"
63,Bernd Brunnhofer
64,Matúš Kotry
65,Ted Alspach
66,"Samuel Bailey, James Kniffen, Corey Konieczka"
67,"Thiago Aranha, Guilherme Goulart, Eric M. Lang, Fred Perret"
68,Don Eskridge
69,"Robert Dougherty, Darwin Kastle"
70,"Ben Cichoski, Daniel Mandel"
71,"Jesús Torres Castro, Matt Leacock"
72,Rüdiger Dorn
73,Alan R. Moon
74,"Glenn Drover, Martin Wallace"
75,Richard Borg
76,"Rustan Håkansson, Nina Håkansson, Einar Rosén, Robert Rosén"
77,"Roberto Fraga, Yohan Lemonnier"
78,"Bill Eberle, Jack Kittredge, Bill Norton, Peter Olotka, Kevin Wilson"
79,Ted Raicer
80,Hisashi Hayashi
81,"Virginio Gigli, Simone Luciani"
82,Nate French
83,Sébastien Pauchon
